ID,Thumbnail
3-H-d-ho-2,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/3-H-d-ho-2/3-H-d-ho-2_0001/full/125,/0/default.jpg"
O-1-A-69_1,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/O-1-A-69_1/O-1-A-69-10_0001/full/125,/0/default.jpg"
XI-6-B-11_1,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-11_1/XI-6-B-11_01_0001/full/125,/0/default.jpg"
XI-6-B-11_2,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-11_2/XI-6-B-11_02_0001/full/125,/0/default.jpg"
XI-6-B-11_3,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-11_3/XI-6-B-11_03_0001/full/125,/0/default.jpg"
XI-6-B-11_4,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-11_4/XI-6-B-11_04_0001/full/125,/0/default.jpg"
XI-6-B-11_5,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-11_5/XI-6-B-11_05_0001/full/125,/0/default.jpg"
XI-6-B-11_6,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-11_6/XI-6-B-11_06_0001/full/125,/0/default.jpg"
XI-6-B-1_1,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-1_1/XI-6-B-1_01_0001/full/125,/0/default.jpg"
XI-6-B-1_2,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-1_2/XI-6-B-1_02_0001/full/125,/0/default.jpg"
XI-6-B-1_3,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-1_3/XI-6-B-1_03_0001/full/125,/0/default.jpg"
XI-6-B-1_4,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-1_4/XI-6-B-1_04_0001/full/125,/0/default.jpg"
XI-6-B-1_5,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-1_5/XI-6-B-1_05_0001/full/125,/0/default.jpg"
XI-6-B-1_6,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-1_6/XI-6-B-1_06_0001/full/125,/0/default.jpg"
XI-6-B-1_7,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-1_7/XI-6-B-1_07_0001/full/125,/0/default.jpg"
XI-6-B-1_8,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-1_8/XI-6-B-1_08_0001/full/125,/0/default.jpg"
XI-6-B-2,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-2/XI-6-B-2_0001/full/125,/0/default.jpg"
XI-6-B-3_1,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-3_1/XI-6-B-3_01_0001/full/125,/0/default.jpg"
XI-6-B-3_2,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-3_2/XI-6-B-3_02_0001/full/125,/0/default.jpg"
XI-6-B-3_3,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-3_3/XI-6-B-3_03_0001/full/125,/0/default.jpg"
XI-6-B-3_4,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-3_4/XI-6-B-3_04_0001/full/125,/0/default.jpg"
XI-6-B-3_5,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-3_5/XI-6-B-3_05_0001/full/125,/0/default.jpg"
XI-6-B-3_6,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-3_6/XI-6-B-3_06_0001/full/125,/0/default.jpg"
XI-6-B-3_7,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-3_7/XI-6-B-3_07_0001/full/125,/0/default.jpg"
XI-6-B-3_8,"https://toyo-iiif.s3.us-east-2.amazonaws.com/gazou/201511/XI-6-B-3_8/XI-6-B-3_08_0001/full/125,/0/default.jpg"
